start,end,xx,assetReward,assetHold,source_ts_ms,stakedAmount,dailyRewardPerUnit,__deleted
2023-09-28,,1203,SKL,SKL,1695915510000,16892330.00000000000000000000,0.00013195068493150700,false
2023-04-29,2023-09-28,592,SKL,SKL,1695915516000,6500000.00000000000000000000,0.00013195068493150685,false
2023-06-07,2023-09-28,768,SKL,SKL,1695915522000,3500000.00000000000000000000,0.00013195068493150685,false
2023-07-13,2023-09-28,920,SKL,SKL,1695915528000,6600000.00000000000000000000,0.00013195068493150685,false
2023-04-14,,538,PHA,PHA,1695911559000,35343242.00000000000000000000,0.00043835616438356200,false
2023-04-14,,538,PHA,PHA,1695912558000,35343242.00000000000000000000,0.00043287671232876700,false
2023-07-29,,1002,ADA,ADA,1695859228000,201214220.53000000000000000000,0.00007671232876712329,false
2023-08-19,,1094,ADA,ADA,1695859230000,213619345.11000000000000000000,0.00007671232876712329,false
2021-12-27,2023-01-13,98,ALGO,ALGO,1695913870000,34237050.81759500000000000000,0.00000191780821917808,false
2021-12-27,2023-01-13,98,ALGO,ALGO,1695913931000,34237050.81859500000000000000,0.00000191780821917808,false
2023-09-14,,1156,SEI,SEI,1694705041000,5700000.00000000000000000000,0.00020457534246575300,false
2022-12-08,,368,APE,APE,1694649610000,939346.94000000000000000000,0.00058232602739726027,false
2022-04-12,,147,ATOM,ATOM,1694694857000,694838.51973700000000000000,0.00059726027397260274,false
2021-12-27,2023-01-13,98,ALGO,ALGO,1694699230000,42103050.81859500000000000000,0.00000191780821917808,false
2023-01-27,,403,WAVES,WAVES,1695945611000,2707908.41000000000000000000,0.00009424657534246575,false
2023-09-28,,1203,SKL,SKL,1695945632000,16892330.00000000000000000000,0.00013195068493150685,false
2022-06-24,,207,CRO,CRO,1695945605000,12147854.45000000000000000000,0.00021369863013698630,false
2023-04-14,,538,PHA,PHA,1695945614000,35343242.00000000000000000000,0.00043287671232876712,false
2022-12-08,,368,APE,APE,1696003903000,938858.56000000000000000000,0.00056818356164383562,false
2023-04-05,,515,INJ,INJ,1696002603000,886208.00000000000000000000,0.00057534246575342466,false
2023-04-18,,542,ETH,ETH,1696025768000,4672.00000000000000000000,0.00009589041095890410,false
2022-06-03,,197,ETH,ETH,1696025794000,64.00000000000000000000,0E-20,false
2023-04-15,,541,ETH,ETH,1696025873000,130912.00000000000000000000,0.00009589040000000000,false
2023-08-04,,1040,ETH,ETH,1696025894000,8864.00000000000000000000,0.00009589040000000000,false
2023-08-17,,1085,ETH,ETH,1696025931000,5472.00000000000000000000,0.00009589041095890410,false
2023-08-18,,1087,ETH,ETH,1696025965000,6592.00000000000000000000,0.00009589041095890410,false
2023-08-04,,1040,ETH,ETH,1691163175000,1824.00000000000000000000,0.00010958900000000000,false
2023-08-04,,1040,ETH,ETH,1691163193000,1824.00000000000000000000,0.00010958900000000000,false
2023-04-13,,534,SAND,SAND,1696636813000,9338056.91020000000000000000,0.00009315068493150685,false
2022-12-31,,385,TRX,TRX,1696636809000,125440000.00000000000000000000,0.00011780821917808219,false
2023-09-18,,1161,1INCH,1INCH,1696852677000,150000.00000000000000000000,0.00012328767123287700,false
2023-10-09,,1237,1INCH,1INCH,1696852399000,500000.00000000000000000000,0.00010958904109589000,false
2023-10-09,,1238,1INCH,1INCH,1696852450000,300031.45800000000000000000,0.00010958904109589000,false
2023-10-09,,1237,1INCH,1INCH,1696852689000,500000.00000000000000000000,0.00012328767123287700,false
2023-10-09,,1238,1INCH,1INCH,1696852703000,300031.45800000000000000000,0.00012328767123287700,false
2023-03-02,,465,MIOTA,MIOTA,1696854426000,14613314.29000000000000000000,0E-20,false
2023-03-02,,465,MIOTA,MIOTA,1696861429000,14613313.29000000000000000000,0E-20,false
2023-03-02,,465,MIOTA,MIOTA,1696861542000,14613313.29000000000000000000,0.00027397260273972600,false
2023-03-02,,465,MIOTA,MIOTA,1696861632000,14613313.29000000000000000000,2.7397260273973E-7,false
2021-12-27,2023-01-13,98,ALGO,ALGO,1696863971000,33647050.81759500000000000000,0.00000191780821917808,false
2021-12-27,2023-01-13,98,ALGO,ALGO,1696864031000,33647050.81859500000000000000,0.00000191780821917808,false
2023-01-29,,409,ARK,ARK,1696867047000,4268762.81000000000000000000,0.00024657534246575342,false
2021-12-27,2023-01-13,98,ALGO,ALGO,1694418271000,38803050.81859500000000000000,0.00000191780821917808,false
2023-07-13,,920,SKL,SKL,1691495940000,6600000.00000000000000000000,0.00013195068493150685,false
2023-02-16,,432,DCR,DCR,1691494744000,26185.28000000000000000000,0.00016438356164383562,false
2023-04-19,,544,VGX,VGX,1691512818000,7123242.06900000000000000000,0.00019178082191780822,false
2023-05-05,,633,TOMO,TOMO,1691481499000,491055.00000000000000000000,0.00020000000000000000,false
2022-05-17,,191,LTO,LTO,1691499674000,19573446.33200000000000000000,0.00023972602739726027,false
2023-02-24,,456,STMX,STMX,1691512138000,68426537.32000000000000000000,0.00024657534246575342,false
2023-04-13,,532,AKRO,AKRO,1696519744000,646330448.39000000000000000000,0.00017534246575342500,false
2023-05-05,,633,TOMO,TOMO,1696500778000,574690.00000000000000000000,0.00020000000000000000,false
2023-03-23,,491,POND,POND,1696500198000,85793574.00000000000000000000,0.00024657534246575342,false
2023-06-01,,733,BAND,BAND,1696510312000,395199.36000000000000000000,0.00030136986301369863,false
2023-05-03,,619,BTT,BTT,1696520976000,2090917825981.00000000000000000000,0.00040547945205479500,false
2023-05-18,2023-10-05,673,POWR,POWR,1696497619000,470220.12000000000000000000,0.00042739726027397260,false
2023-05-01,,600,POWR,POWR,1696497645000,858420.58000000000000000000,0.00042739726027397260,false
2023-05-01,,601,POWR,POWR,1696497664000,549196.29000000000000000000,0.00042739726027397260,false
2023-05-01,,602,POWR,POWR,1696497685000,1180131.10000000000000000000,0.00042739726027397260,false
2023-05-01,,603,POWR,POWR,1696497702000,870881.61000000000000000000,0.00042739726027397260,false
2023-05-01,,604,POWR,POWR,1696497731000,869491.85000000000000000000,0.00042739726027397260,false
2023-07-19,,968,POWR,POWR,1696497763000,1261351.20000000000000000000,0.00042739726027397260,false
2023-05-01,,600,POWR,POWR,1696498175000,858420.58000000000000000000,0.00054794520547945200,false
2023-05-01,,601,POWR,POWR,1696498186000,549196.29000000000000000000,0.00054794520547945200,false
2023-05-01,,602,POWR,POWR,1696498196000,1180131.10000000000000000000,0.00054794520547945200,false
2023-05-01,,603,POWR,POWR,1696498205000,870881.61000000000000000000,0.00054794520547945200,false
2023-05-01,,604,POWR,POWR,1696498215000,869491.85000000000000000000,0.00054794520547945200,false
2023-07-19,,968,POWR,POWR,1696498225000,1261351.20000000000000000000,0.00054794520547945200,false
